Saint Kitts and Nevis,-37,2022-11-02
Isle of Man,-34,2022-03-06
Denmark,-6,2022-04-12
United Arab Emirates,16,2022-01-04
Spain,-22,2022-04-11
Democratic People's Republic of Korea,7,2022-02-04
Guyana,10,2022-06-03
Sri Lanka,15,2022-07-13
Vietnam,8,2022-01-11
Netherlands Antilles,22,2022-02-07
Guernsey,-40,2022-01-26
Congo,-7,2022-08-11
Liechtenstein,-5,2022-04-12
Andorra,-33,2022-10-23
Netherlands Antilles,-4,2022-11-25
Saint Vincent and the Grenadines,17,2022-10-23
Heard Island and McDonald Islands,-23,2022-11-24
Zimbabwe,-33,2022-08-13
Somalia,-37,2022-07-04
Monaco,21,2022-05-30
Canada,11,2022-01-06
Christmas Island,-1,2022-07-29
Guinea-Bissau,15,2022-01-28
Trinidad and Tobago,-39,2022-06-26
Isle of Man,28,2022-11-22
Saint Barthelemy,-22,2022-01-18
Mauritania,26,2022-06-30
Fiji,-35,2022-10-02
Jamaica,10,2022-04-10
Micronesia,-23,2022-04-04
Nicaragua,4,2022-05-26
American Samoa,31,2021-12-15
Greece,-1,2022-01-03
Brazil,17,2022-03-26
Cyprus,33,2022-06-20
San Marino,-6,2022-04-10
Saint Vincent and the Grenadines,29,2022-07-06
Montenegro,8,2022-10-31
Luxembourg,20,2022-04-20
Pitcairn Islands,-9,2022-05-26
Greece,-6,2022-10-29
Italy,21,2022-11-28
Malawi,-26,2022-10-31
Kazakhstan,20,2022-11-12
Qatar,8,2022-02-27
Russian Federation,-39,2022-02-25
Papua New Guinea,-13,2022-09-11
United States Minor Outlying Islands,-2,2022-05-27
Vietnam,-17,2021-12-25
Solomon Islands,-28,2022-11-13
Bouvet Island (Bouvetoya),-31,2022-03-14
Micronesia,34,2022-11-18
United States of America,15,2022-09-05
Monaco,-12,2022-04-16
Honduras,-24,2022-05-16
Ethiopia,40,2022-05-03
Samoa,18,2022-09-26
Turks and Caicos Islands,-26,2022-02-01
Panama,10,2022-07-11
Niger,-13,2022-05-10
Costa Rica,40,2022-03-08
Congo,26,2022-08-16
Virgin Islands, British,32,2022-06-09
Argentina,7,2022-07-08
Rwanda,16,2022-11-02
Gambia,11,2022-05-27
Yemen,39,2022-10-06
Papua New Guinea,-32,2022-12-08
Peru,19,2022-09-15
Grenada,29,2022-10-12
Tuvalu,-31,2022-01-12
Kazakhstan,40,2022-07-22
Tajikistan,26,2021-12-22
Argentina,-4,2022-07-19
Vanuatu,37,2022-03-31
Saint Kitts and Nevis,24,2022-09-15
Netherlands,35,2022-10-19
Bolivia,22,2022-10-22
Slovakia (Slovak Republic),-28,2022-11-02
Australia,7,2022-04-16
Ecuador,20,2022-07-19
Barbados,-29,2022-06-27
Bahrain,-25,2022-07-06
Saint Vincent and the Grenadines,-25,2022-08-11
Andorra,-24,2022-01-28
Chad,22,2022-09-05
French Polynesia,18,2022-11-27
Chile,-19,2022-06-29
Cayman Islands,-20,2022-09-05
Virgin Islands, U.S.,32,2022-08-06
Palestinian Territory,8,2022-09-30
Sweden,-29,2022-05-19
Cameroon,11,2022-07-26
Iran,-31,2022-09-28
Zimbabwe,33,2022-04-19
Ireland,9,2022-06-29
Bolivia,-40,2022-04-23
Cuba,-16,2022-10-15
Samoa,-22,2022-07-03
Monaco,-6,2022-09-25
Reunion,23,2022-09-03
United Arab Emirates,1,2022-05-09
Saint Vincent and the Grenadines,40,2022-11-28
New Zealand,-30,2022-06-06
New Zealand,-5,2022-09-28
Holy See (Vatican City State),7,2022-09-19
Samoa,1,2022-11-15
Kyrgyz Republic,-29,2022-02-27
Republic of Korea,18,2022-07-18
Palestinian Territory,-25,2021-12-24
Croatia,-30,2022-06-24
Sao Tome and Principe,4,2022-11-14
Bermuda,13,2022-03-10
Sudan,31,2022-05-03
Moldova,16,2022-05-22
United Arab Emirates,18,2022-02-11
Bahamas,13,2022-04-29
Iraq,-3,2022-05-05
French Polynesia,-10,2022-01-21
Palestinian Territory,18,2022-07-26
Lithuania,5,2022-06-10
Saint Kitts and Nevis,15,2022-09-12
Vanuatu,20,2022-01-13
Guinea,30,2022-03-08
Burundi,-20,2022-08-04
Marshall Islands,6,2022-05-18
Thailand,27,2022-02-06
Iran,-23,2022-09-28
Uruguay,-33,2022-11-09
American Samoa,-11,2022-02-23
Finland,29,2022-02-20
Wallis and Futuna,33,2022-03-11
Botswana,23,2022-01-24
Macedonia,32,2022-06-19
Malta,28,2022-04-09
Benin,23,2022-09-15
Argentina,24,2022-04-04
Guinea-Bissau,22,2022-08-04
Virgin Islands, U.S.,17,2022-09-30
Sweden,-7,2022-10-20
Jamaica,17,2022-12-03
Azerbaijan,12,2022-03-19
Congo,14,2021-12-18
Congo,22,2022-03-11
Burkina Faso,-19,2022-01-13
Poland,-37,2021-12-23
Vietnam,-6,2022-11-10
Barbados,27,2022-11-02
Netherlands,-28,2022-04-23
New Caledonia,20,2022-11-02
Australia,-30,2022-10-31
Gabon,-14,2022-08-31
Andorra,23,2022-08-06
Cuba,-23,2021-12-25
Niue,6,2022-08-24
Turkmenistan,17,2022-12-07
Western Sahara,-2,2022-04-21
Martinique,26,2022-07-17
Malaysia,-21,2022-05-17
Albania,-20,2022-10-23
Argentina,-40,2022-09-17
Netherlands,16,2022-11-24
Burkina Faso,-11,2022-05-11
Andorra,-7,2022-04-11
Kazakhstan,24,2022-04-29
Gambia,14,2022-08-14
Guam,20,2022-05-16
Kiribati,-13,2022-05-29
Myanmar,20,2022-03-11
Uruguay,-13,2022-07-14
Nigeria,32,2022-05-18
Saint Kitts and Nevis,35,2022-08-22
Switzerland,-26,2022-01-04
Ghana,-12,2022-09-25
Niger,-14,2021-12-30
Pitcairn Islands,20,2022-10-08
Guam,0,2022-06-16
Saudi Arabia,24,2022-08-28
Armenia,12,2022-11-09
Antarctica (the territory South of 60 deg S),27,2022-04-13
American Samoa,24,2022-02-12
Falkland Islands (Malvinas),4,2022-09-10
Kiribati,34,2022-11-08
United States Minor Outlying Islands,16,2022-10-25
Iceland,-5,2022-10-06
Palau,-16,2022-10-26
El Salvador,35,2022-11-01
Uzbekistan,-21,2022-03-20
Northern Mariana Islands,-16,2022-06-02
Palestinian Territory,-18,2022-05-02
Marshall Islands,23,2022-07-05
Croatia,-4,2022-02-17
Canada,-20,2022-10-04
Botswana,24,2022-06-30
Belize,22,2022-01-14
Estonia,1,2022-02-19
El Salvador,18,2022-03-30
Guernsey,-29,2022-03-02
Romania,39,2022-12-13
Uzbekistan,10,2022-08-09
Uruguay,-28,2022-07-17
United States Minor Outlying Islands,11,2022-12-09
South Africa,0,2022-11-07
Cuba,-15,2022-09-21
India,-24,2022-07-18
Comoros,-15,2022-04-20
New Zealand,10,2022-07-01
Mali,-19,2022-07-08
Portugal,20,2022-02-22
South Africa,-28,2022-10-09
Antigua and Barbuda,22,2022-10-28
Liechtenstein,21,2022-01-21
Burkina Faso,-23,2022-05-24
Panama,-28,2022-06-04
Thailand,-12,2022-01-14
Honduras,-13,2022-09-14
Niger,-14,2022-06-21
Tunisia,-14,2022-11-18
Tonga,2,2022-08-11
Estonia,4,2022-02-18
Kenya,-22,2022-01-21
Bahrain,-29,2022-08-24
Angola,-18,2022-02-06
Bolivia,-15,2022-07-05
Brunei Darussalam,22,2022-05-07
Mongolia,-10,2022-09-28
Saint Martin,29,2021-12-27
Belarus,-27,2022-04-20
Haiti,10,2022-11-12
Ireland,-21,2022-07-04
Maldives,22,2022-09-25
Papua New Guinea,29,2022-09-02
Bolivia,35,2022-09-06
Argentina,-4,2022-01-15
Grenada,16,2022-06-29
Niue,23,2022-09-04
Cameroon,-9,2022-02-22
Saint Helena,17,2022-01-22
El Salvador,37,2022-10-13
Kazakhstan,-20,2022-09-03
Saint Helena,5,2022-01-18
Sao Tome and Principe,-27,2022-05-29
Liberia,37,2022-04-26
Burkina Faso,-35,2022-04-04
Mozambique,22,2022-09-28
Martinique,3,2022-10-17
Bosnia and Herzegovina,27,2022-03-17
New Zealand,26,2022-02-10
French Polynesia,-6,2022-12-03
Cape Verde,30,2022-03-23
Comoros,27,2022-11-28
Saint Vincent and the Grenadines,33,2022-03-03
Solomon Islands,29,2022-06-14
Anguilla,-23,2022-02-05
Guam,-26,2022-10-11
Oman,17,2022-02-10
Lesotho,-15,2022-10-10
Iceland,-20,2022-03-03
Saint Vincent and the Grenadines,38,2022-03-22
Anguilla,30,2022-11-23
Tajikistan,-28,2022-03-04
Palau,25,2022-01-04
Armenia,23,2022-09-29
Italy,-11,2022-08-16
Palau,-16,2022-11-13
Nauru,23,2022-07-24
Tunisia,29,2022-10-03
Reunion,4,2022-06-20
Ukraine,1,2022-06-18
Holy See (Vatican City State),29,2022-09-06
French Southern Territories,-21,2022-09-12
Eritrea,-21,2022-11-10
Montenegro,-39,2022-12-01
Cook Islands,17,2022-11-01
Saint Vincent and the Grenadines,18,2022-10-05
Isle of Man,-23,2022-03-15
Monaco,31,2022-11-07
Bouvet Island (Bouvetoya),-27,2022-02-23
Morocco,-24,2021-12-27
Sudan,25,2022-10-28
Algeria,-28,2022-01-04
Turkey,22,2022-06-14
Algeria,-31,2022-09-09
Guinea-Bissau,8,2022-03-26
French Polynesia,-18,2022-02-24
Equatorial Guinea,-35,2022-02-21
Gambia,15,2022-02-10
Philippines,21,2021-12-14
Mozambique,7,2022-11-08
Dominica,22,2022-02-23
Samoa,14,2022-04-13
Cape Verde,-2,2022-05-17
Jersey,30,2022-09-02
Haiti,-4,2022-07-06
Falkland Islands (Malvinas),-7,2022-07-18
Argentina,-21,2022-03-22
Democratic People's Republic of Korea,-29,2022-03-26
Comoros,34,2022-07-07
Dominican Republic,-34,2022-01-28
Kyrgyz Republic,37,2022-01-30
Cote d'Ivoire,-27,2022-10-06
French Guiana,17,2022-11-10
Estonia,40,2022-03-04
British Indian Ocean Territory (Chagos Archipelago),-18,2022-04-09
United Kingdom,-1,2022-10-28
Panama,-20,2022-06-16
Saudi Arabia,-10,2022-09-24
Cayman Islands,4,2022-03-20
Estonia,10,2022-07-11
Kiribati,-22,2022-03-15
Sweden,-17,2022-04-21
Falkland Islands (Malvinas),-35,2022-09-02
Andorra,-10,2022-02-25
Suriname,26,2022-05-18
Senegal,-21,2022-11-19
Canada,26,2022-05-08
Tuvalu,-39,2022-06-28
Democratic People's Republic of Korea,-6,2022-11-12
Mali,-10,2022-08-14
Mauritania,38,2022-04-13
Chile,12,2022-01-08
Mayotte,29,2022-01-29
Ireland,-24,2022-06-14
Eritrea,-40,2022-10-25
Netherlands,38,2022-07-04
Liechtenstein,-21,2022-04-17
Denmark,-20,2022-11-19
Mongolia,36,2022-07-24
Anguilla,27,2022-08-26
Guernsey,-4,2022-06-29
Portugal,-8,2022-06-16
Bahrain,-16,2022-03-14
Puerto Rico,15,2022-10-22
Western Sahara,36,2022-12-02
Singapore,13,2022-08-13
Finland,-18,2022-10-16
Kyrgyz Republic,13,2021-12-30
Cuba,8,2022-06-12
Saint Pierre and Miquelon,1,2022-04-16
Slovakia (Slovak Republic),5,2022-06-22
Reunion,18,2022-06-04
Germany,-2,2022-01-24
Poland,34,2022-09-13
Czech Republic,0,2022-01-15
Zambia,-20,2022-05-18
Kazakhstan,-14,2021-12-16
Jordan,-18,2021-12-22
Falkland Islands (Malvinas),-9,2022-05-31
Barbados,-1,2022-05-20
Cote d'Ivoire,16,2022-08-25
Maldives,-19,2022-07-03
Anguilla,-40,2022-07-05
American Samoa,-21,2022-08-09
Germany,9,2022-11-24
New Zealand,40,2021-12-25
Austria,38,2022-04-18
Morocco,0,2022-01-10
Dominican Republic,16,2022-02-24
Portugal,-37,2022-02-27
Denmark,18,2022-01-04
Latvia,-8,2022-06-06
Haiti,-2,2021-12-28
Falkland Islands (Malvinas),31,2021-12-26
Falkland Islands (Malvinas),37,2022-05-21
Burkina Faso,17,2022-08-22
Anguilla,21,2022-12-13
Yemen,11,2022-09-26
India,-36,2022-04-18
Russian Federation,-24,2022-06-03
Jordan,-25,2022-07-20
China,-28,2022-06-30
Congo,-33,2022-05-30
Kyrgyz Republic,-36,2022-10-08
Antigua and Barbuda,12,2022-09-22
South Africa,12,2022-01-12
Comoros,-24,2021-12-21
Thailand,-30,2022-11-24
Singapore,31,2022-01-10
United Arab Emirates,-27,2022-10-13
Netherlands Antilles,3,2022-03-04
Estonia,-4,2022-06-15
Saint Vincent and the Grenadines,20,2022-02-26
Panama,39,2022-10-12
Dominican Republic,23,2021-12-15
Sao Tome and Principe,6,2022-08-08
Micronesia,-10,2022-08-13
Niger,33,2022-11-01
Honduras,7,2022-09-26
Guadeloupe,32,2022-01-30
Niue,24,2022-04-26
Guernsey,-40,2022-07-25
Nicaragua,-32,2022-11-02
Mozambique,40,2022-01-13
Uganda,3,2022-10-28
Luxembourg,-18,2022-07-30
Indonesia,14,2022-02-23
Lao People's Democratic Republic,-24,2022-03-06
Marshall Islands,-13,2022-10-29
Bouvet Island (Bouvetoya),-28,2022-11-11
India,-32,2022-01-18
Aruba,-27,2022-11-01
Cambodia,-40,2022-12-06
Cyprus,-35,2022-07-16
Antarctica (the territory South of 60 deg S),9,2022-10-03
Romania,2,2022-12-11
Guam,39,2022-09-18
Antigua and Barbuda,35,2022-05-03
Antarctica (the territory South of 60 deg S),7,2022-03-13
Oman,-31,2022-06-26
Bosnia and Herzegovina,34,2022-07-12
Sri Lanka,39,2022-05-25
Timor-Leste,27,2022-05-11
Congo,-13,2022-04-27
Puerto Rico,-33,2022-07-30
Jordan,14,2022-08-09
Kyrgyz Republic,-25,2022-11-02
Mayotte,-11,2022-04-20
Myanmar,-37,2022-02-01
Uzbekistan,-25,2022-08-03
Congo,30,2022-03-15
British Indian Ocean Territory (Chagos Archipelago),0,2022-01-26
Tunisia,28,2022-03-22
Tokelau,-7,2022-11-24
Ukraine,13,2022-03-10
Yemen,14,2022-01-01
Saint Martin,-39,2022-05-05
Lesotho,-5,2022-05-03
Saint Lucia,1,2022-06-29
Falkland Islands (Malvinas),-36,2022-11-19
Spain,-6,2022-09-06
United States Minor Outlying Islands,9,2022-07-13
Bulgaria,23,2022-02-13
Venezuela,-30,2022-02-08
Norfolk Island,-28,2022-05-11
Guinea,34,2022-02-22
Myanmar,-16,2022-06-19
Czech Republic,33,2022-10-17
Philippines,19,2022-07-19
Bulgaria,11,2022-02-01
United States of America,39,2022-07-25
Saint Helena,-32,2022-11-16
Macao,-33,2022-10-13
Costa Rica,31,2022-05-08
Saint Martin,-36,2022-05-29
Saint Kitts and Nevis,-19,2022-06-26
Congo,-6,2022-02-13
Guinea-Bissau,-25,2022-08-18
French Southern Territories,11,2022-01-26
Romania,-22,2022-03-10
Namibia,29,2022-11-07
Tunisia,-5,2022-10-21
Fiji,-23,2022-11-09
Armenia,-13,2022-01-27
Mauritania,23,2022-01-04
Andorra,-11,2022-05-10
Saint Helena,-31,2022-09-13
Brunei Darussalam,-14,2022-01-12
Guatemala,-3,2022-12-11
Mozambique,-22,2022-07-30
Western Sahara,30,2022-12-13
Kyrgyz Republic,-5,2022-05-23
Namibia,12,2022-03-10
Cuba,38,2022-10-25
Solomon Islands,-38,2022-10-20
Faroe Islands,24,2022-04-11
Turkey,6,2021-12-14
Barbados,23,2022-10-01
Rwanda,-30,2022-12-09
Burundi,-4,2022-09-12
Algeria,38,2022-04-18
Reunion,-38,2022-05-13
Ghana,18,2022-05-16
Iceland,21,2022-04-14
Belarus,-31,2022-09-30
Uruguay,18,2022-01-11
El Salvador,-25,2022-08-02
Marshall Islands,-7,2022-10-29
Netherlands,10,2022-01-14
Turkmenistan,-37,2022-08-19
French Guiana,38,2022-10-16
Heard Island and McDonald Islands,4,2022-01-23
Sweden,5,2022-03-10
Uzbekistan,-13,2022-10-06
Cameroon,39,2022-02-10
Panama,-6,2022-02-13
Palau,-26,2022-03-30
Burundi,-32,2022-08-03
Vietnam,-30,2022-09-28
Kiribati,-26,2022-03-03
Indonesia,-1,2022-11-08
Israel,-20,2022-02-21
Thailand,-2,2022-01-31
Micronesia,33,2022-09-12
Niue,33,2022-09-22
Qatar,35,2022-09-15
Norway,13,2022-01-13
South Africa,-35,2022-02-22
Tonga,2,2022-10-29
Moldova,-32,2022-06-02
Guinea,0,2022-04-27
Sierra Leone,-23,2022-07-01
Botswana,-35,2022-12-13
El Salvador,37,2022-11-04
Ukraine,-19,2022-05-25
Vietnam,7,2022-03-11
Greece,-32,2022-01-14
Lao People's Democratic Republic,-28,2022-08-05
Burkina Faso,13,2022-03-20
Somalia,-1,2022-01-17
United Arab Emirates,22,2022-12-13
Macedonia,-25,2022-11-23
Indonesia,17,2022-07-24
United Arab Emirates,12,2022-04-01
Saint Martin,36,2022-10-27
Bermuda,-21,2022-05-11
Colombia,-22,2022-01-27
Saint Vincent and the Grenadines,-23,2022-03-03
Peru,29,2022-11-02
Suriname,20,2022-05-28
Wallis and Futuna,13,2022-04-19
Lebanon,36,2022-04-04
Turkey,-31,2022-03-09
Cape Verde,12,2022-05-24
Zimbabwe,-6,2022-11-10
Puerto Rico,33,2022-07-23
Fiji,1,2022-03-17
Timor-Leste,14,2022-04-06
New Zealand,32,2021-12-28
Estonia,30,2022-07-11
Kyrgyz Republic,-14,2022-01-20
Portugal,39,2022-10-12
Jordan,-27,2022-07-24
Northern Mariana Islands,-26,2022-03-30
Luxembourg,-17,2022-10-05
Burundi,-24,2022-02-19
Malaysia,-14,2022-10-11
Libyan Arab Jamahiriya,-20,2022-06-24
Bhutan,33,2022-05-21
French Guiana,6,2022-02-15
Christmas Island,9,2022-04-06
Papua New Guinea,27,2022-07-11
Monaco,40,2022-06-15
Netherlands Antilles,24,2022-07-12
Mauritania,26,2022-05-14
Cote d'Ivoire,-21,2022-09-02
Uzbekistan,-24,2022-09-22
Faroe Islands,31,2022-07-30
Tajikistan,29,2022-06-04
Romania,29,2021-12-29
Yemen,-33,2022-02-10
Cayman Islands,19,2022-08-31
Norway,-6,2022-09-28
Dominican Republic,-10,2022-09-24
Kyrgyz Republic,8,2022-10-31
Holy See (Vatican City State),28,2022-09-06
Lebanon,12,2022-12-03
Heard Island and McDonald Islands,30,2022-07-10
American Samoa,-6,2022-07-22
Estonia,37,2022-03-06
Cook Islands,-37,2022-05-18
Portugal,-30,2022-01-17
Ethiopia,-15,2021-12-26
Namibia,21,2022-04-22
Palau,-12,2022-07-15
Andorra,-15,2022-01-17
Saint Helena,-35,2022-10-29
Saint Barthelemy,28,2022-07-21
Palestinian Territory,-7,2022-08-17
Congo,21,2022-06-16
Norfolk Island,20,2022-09-06
Costa Rica,-24,2022-08-20
Aruba,17,2022-01-25
Seychelles,24,2022-06-10
Western Sahara,-11,2021-12-15
French Southern Territories,-22,2022-08-15
Iraq,-13,2022-09-18
Fiji,1,2022-09-01
New Caledonia,36,2022-04-09
Mongolia,-14,2022-06-18
Thailand,-2,2022-06-23
Netherlands,37,2022-08-13
Bangladesh,23,2022-10-10
Burkina Faso,31,2022-06-22
Nepal,-23,2022-06-06
China,35,2022-05-05
Saint Helena,1,2022-05-28
Mauritius,-16,2022-08-06
Hungary,2,2022-05-08
Bangladesh,-3,2022-04-23
Austria,25,2022-03-08
Papua New Guinea,-31,2022-05-02
Netherlands Antilles,-4,2021-12-28
Saint Vincent and the Grenadines,-9,2022-07-12
Tanzania,-35,2022-01-30
Luxembourg,-38,2022-10-14
Cape Verde,-7,2022-06-15
Vietnam,11,2022-10-08
Tuvalu,8,2022-09-25
Guyana,32,2022-08-22
Angola,33,2022-03-11
Japan,-4,2022-02-18
Nepal,25,2022-05-31
Christmas Island,-5,2022-05-31
Lebanon,36,2022-10-18
Heard Island and McDonald Islands,11,2022-08-04
Gabon,-9,2022-10-20
San Marino,-11,2022-03-12
Guernsey,36,2021-12-21
United Arab Emirates,4,2022-10-29
Iraq,-24,2022-03-30
Gabon,-11,2022-11-09
Algeria,0,2022-04-14
Denmark,-20,2022-04-30
Netherlands Antilles,19,2022-12-09
Hong Kong,-23,2022-07-25
Aruba,33,2022-11-06
Saint Barthelemy,26,2022-09-08
Botswana,10,2022-01-25
Ireland,-33,2022-05-16
Netherlands Antilles,31,2022-03-17
Saint Helena,-23,2022-03-05
Palau,-7,2022-09-06
Niger,-34,2022-07-26
Spain,-26,2022-08-11
Burundi,-1,2022-05-24
Tonga,-40,2022-08-07
Heard Island and McDonald Islands,-39,2022-11-12
Saint Martin,-14,2022-06-19
San Marino,-12,2022-11-21
Saint Helena,35,2022-11-28
Brazil,-6,2022-04-27
Spain,-35,2022-08-09
Paraguay,32,2022-12-01
French Southern Territories,31,2022-05-01
Burkina Faso,20,2022-03-30
Congo,3,2022-02-20
Vietnam,21,2022-03-15
Egypt,-14,2022-08-23
Mauritania,18,2021-12-19
Nigeria,39,2022-08-31
Guatemala,34,2022-07-16
Saint Pierre and Miquelon,-22,2022-06-27
Saint Helena,22,2022-08-22
Paraguay,30,2022-06-11
Burundi,13,2022-03-04
Palau,-17,2022-10-26
Isle of Man,11,2022-05-16
Northern Mariana Islands,-37,2022-02-10
Nauru,-21,2022-03-11
Denmark,-32,2022-08-26
Sweden,34,2022-07-23
Dominican Republic,26,2022-02-02
Sudan,-4,2022-01-23
Mexico,4,2022-05-28
Latvia,-5,2022-08-15
Equatorial Guinea,18,2022-03-29
Norway,-30,2022-10-08
Mozambique,-19,2022-12-04
Guernsey,-25,2022-07-21
Turkey,20,2022-05-23
Croatia,-22,2022-02-12
Tunisia,31,2022-03-28
Saint Barthelemy,-8,2022-04-21
Saint Martin,6,2022-03-15
Heard Island and McDonald Islands,-34,2022-02-13
French Guiana,25,2022-10-25
Cape Verde,-39,2022-03-08
French Southern Territories,1,2022-02-04
United Arab Emirates,-23,2022-10-08
Papua New Guinea,36,2022-01-09
Brazil,20,2022-09-01
Netherlands Antilles,-13,2022-04-23
Venezuela,35,2022-01-29
Mongolia,-11,2022-02-20
Azerbaijan,-17,2022-06-30
United Kingdom,22,2022-11-27
Mongolia,24,2022-08-24
Tanzania,-16,2022-06-21
Ecuador,-33,2022-06-13
Jersey,-21,2022-10-05
Singapore,-25,2022-02-17
Mongolia,-9,2022-05-18
Mauritius,-7,2022-03-13
Greenland,21,2022-05-12
Bosnia and Herzegovina,-6,2022-12-02
Trinidad and Tobago,37,2022-02-01
El Salvador,31,2022-07-06
Kenya,33,2022-02-05
Costa Rica,-34,2022-04-12
Pitcairn Islands,35,2022-01-07
Micronesia,-37,2022-09-04
Luxembourg,31,2022-06-25
Monaco,-20,2022-07-30
Angola,-32,2022-04-26
Bolivia,22,2022-04-06
Iceland,-6,2022-09-04
