date,number
2022-01-08,3511
2022-04-30,2182
2022-10-01,3313
2022-09-09,3638
2022-04-14,2205
2022-09-01,2267
2022-09-08,3518
2022-05-17,3111
2022-04-20,3288
2021-12-25,1115
2022-03-28,2595
2022-09-29,2857
2022-03-30,3692
2022-05-28,3122
2022-12-03,3941
2022-07-20,2969
2022-01-03,3757
2022-05-02,1686
2022-06-16,1717
2022-08-29,1051
2022-07-21,1337
2022-05-11,3458
2022-11-09,3580
2022-07-07,1965
2022-02-21,2132
2022-10-09,3473
2022-05-06,2846
2022-04-08,3056
2022-05-13,1019
2022-02-15,3881
2022-01-01,3443
2022-12-04,3752
2022-11-26,3123
2022-06-25,1305
2022-08-09,2767
2022-12-03,1691
2022-10-05,3865
2022-05-30,1865
2022-12-15,3452
2022-11-28,2444
2022-10-01,3071
2022-07-27,2933
2022-07-23,2636
2022-08-03,1042
2022-02-01,3136
2022-09-01,2385
2022-12-16,1259
2022-04-16,1021
2022-12-12,1335
2022-03-22,2336
2022-03-31,1997
2022-10-13,1375
2022-11-28,3694
2022-04-30,1113
2022-12-05,1456
2022-07-04,3691
2022-08-23,3387
2021-12-23,1674
2022-09-02,3779
2022-02-19,1237
2022-10-02,3249
2022-08-25,3860
2022-01-16,2449
2022-12-05,3357
2022-10-28,2591
2022-12-04,2685
2022-07-03,3147
2022-10-12,1842
2022-11-17,2292
2022-02-28,1117
2022-02-21,2884
2022-09-01,1532
2022-11-28,1532
2022-11-02,1463
2022-05-29,1378
2022-06-18,3758
2022-07-22,2078
2022-06-10,1456
2022-05-24,3518
2022-11-27,2750
2022-07-04,1284
2022-01-26,2929
2022-02-23,1826
2021-12-29,3147
2022-06-17,2089
2022-10-02,2866
2022-09-16,2261
2022-01-28,3524
2022-01-13,2553
2022-10-18,2356
2022-07-30,1146
2022-10-15,3072
2022-07-13,1515
2022-09-03,2169
2022-04-11,1279
2022-07-14,2469
2022-04-10,2369
2022-11-11,3019
2022-06-10,3589
2022-05-26,3390
2022-09-29,3316
2022-09-26,3791
2022-09-13,2379
2022-03-25,3534
2022-02-22,2607
2022-07-10,3407
2022-07-09,1264
2021-12-30,1266
2022-02-24,3664
2022-10-03,3354
2022-01-06,1553
2022-06-09,3448
2022-06-03,1317
2021-12-24,3490
2022-10-11,3947
2022-10-13,3112
2021-12-21,1075
2022-10-28,3679
2022-11-26,2360
2022-01-17,1386
2022-08-14,1909
2022-06-05,2553
2022-05-06,1466
2022-12-10,1410
2022-01-13,3567
2022-06-08,1273
2022-12-09,1939
2022-07-16,1160
2022-10-29,3132
2022-03-17,3010
2022-11-15,3364
2022-09-13,2334
2022-06-24,1621
2022-10-28,1512
2022-06-09,1445
2022-10-18,1330
2022-07-15,2765
2022-01-26,2905
2022-07-18,1736
2022-07-05,2156
2022-05-26,3383
2022-04-03,3200
2022-06-12,1088
2022-09-21,1152
2022-02-01,3249
2022-06-25,2707
2022-10-29,3831
2022-07-12,3797
2022-09-06,3728
2022-07-22,2002
2022-03-08,2787
2022-12-02,3393
2021-12-30,1475
2022-10-28,1696
2022-09-18,2856
2022-03-02,3747
2022-01-03,2904
2022-01-22,3446
2022-03-17,1447
2022-08-10,3013
2021-12-23,1478
2022-11-21,3099
2022-03-05,1141
2022-05-30,2505
2022-01-13,1522
2022-04-21,2036
2022-02-22,3281
2022-10-19,3411
2022-11-28,2201
2022-09-20,1817
2022-09-18,3841
2022-12-02,1054
2022-11-29,2921
2022-12-06,3550
2022-06-22,1753
2022-03-20,1344
2022-07-01,3321
2022-07-29,1091
2022-01-23,1850
2022-08-23,2149
2022-03-06,2690
2022-03-27,3894
2022-10-12,3353
2022-02-10,2571
2022-07-19,2702
2022-03-23,2819
2022-09-03,3803
2022-09-20,2588
2022-09-28,1703
2022-02-09,2945
2022-05-08,1476
2022-04-27,1047
2022-04-29,3750
2022-06-07,1221
2022-08-15,2650
2022-04-26,3508
2022-02-09,2575
2022-09-13,3622
2022-09-21,2594
2022-12-17,3397
2022-06-06,3756
2022-11-28,1260
2022-03-09,2476
2022-04-23,1346
2022-05-28,3675
2022-05-13,2176
2022-07-19,1140
2022-01-17,3599
2022-09-01,2114
2022-08-18,3473
2022-06-08,2423
2022-09-08,2619
2022-11-11,1608
2022-01-10,2931
2022-02-28,3985
2022-07-06,2068
2022-10-12,2478
2022-03-16,3065
2022-01-26,3069
2022-03-14,1426
2022-01-05,1852
2022-09-23,1412
2022-02-19,3578
2021-12-23,2184
2022-12-15,3633
2022-02-27,1244
2022-07-29,1359
2022-12-11,3110
2022-09-14,3807
2022-06-15,3093
2022-09-12,2167
2022-09-29,2074
2022-10-21,2972
2022-08-12,1791
2022-10-16,2895
2022-04-17,2018
2022-06-18,2119
2022-07-13,1991
2022-07-20,1959
2022-01-17,3042
2022-02-13,3916
2022-02-27,1779
2022-10-10,1252
2022-09-14,1211
2022-01-18,3074
2022-10-15,3133
2022-02-24,3489
2022-12-12,1334
2022-05-25,2793
2022-09-02,3529
2022-06-05,2165
2022-03-04,2071
2022-12-03,1992
2022-09-11,1148
2022-05-30,3804
2022-03-27,2471
2022-12-11,2371
2022-06-26,3282
2021-12-24,2620
2022-05-07,1004
2022-01-26,2103
2022-05-18,2884
2022-08-08,1696
2022-03-28,3725
2022-06-20,1481
2022-01-20,2770
2022-04-28,3640
2022-09-19,3769
2022-05-24,2562
2022-07-05,3574
2022-10-21,1593
2022-10-08,3608
2022-08-03,2189
2022-09-09,3946
2022-08-25,1990
2022-01-19,1524
2022-09-22,2889
2022-10-20,2203
2022-07-20,1896
2022-05-01,2749
2022-09-08,1898
2022-01-20,3083
2022-08-20,2245
2022-11-12,2348
2022-04-08,1899
2022-09-27,2445
2022-05-10,2402
2022-06-08,2795
2022-12-17,2913
2022-03-10,3317
2022-01-21,3231
2022-04-02,3300
2022-01-05,2980
2022-10-02,3477
2022-11-18,2240
2022-07-08,3082
2022-04-01,3118
2022-08-11,1339
2022-04-18,1476
2022-11-09,1662
2022-02-12,1919
2022-12-06,3130
2022-10-26,1603
2022-06-06,1498
2022-03-31,3040
2022-06-12,2474
2022-10-18,3917
2022-03-16,3063
2022-08-04,3341
2022-10-19,2599
2022-08-14,2973
2022-10-13,2296
2022-03-31,1284
2022-06-07,2640
2022-09-22,3648
2022-11-18,2396
2022-03-25,1290
2022-12-06,3187
2022-12-07,3265
2022-09-29,1179
2022-02-27,2532
2022-02-02,2110
2022-01-10,1922
2022-07-04,1859
2022-02-24,3335
2022-12-14,1927
2022-08-19,2371
2022-09-22,2607
2022-07-14,2631
2021-12-18,2044
2021-12-28,1293
2022-05-11,1664
2022-03-26,2912
2022-04-08,1608
2022-05-30,2036
2021-12-23,1429
2022-02-24,3923
2022-08-06,1775
2022-11-21,2141
2022-10-21,2475
2022-07-06,3931
2021-12-18,3529
2022-01-21,3110
2022-07-03,1818
2022-11-25,2324
2022-08-06,1042
